trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
117,False,"{'a': 0.5, 'e': 0.30854447063465107}",35,17,20.064267768701775,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.30545902592830454}",20,7,0.8788109585724906,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.3024044356690215}",25,19,13.508262509544242,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.29938039131233124}",25,0,13.150863026838483,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
121,False,"{'a': 0.5, 'e': 0.2963865873992079}",25,9,27.80271702856716,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.29342272152521587}",20,0,-56.55318892533611,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
123,False,"{'a': 0.5, 'e': 0.2904884943099637}",20,6,0.7757662689398626,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.28758360936686406}",35,0,-79.84960656061291,"{0: 30, 1: 0, 2: 1, 3: 2, 4: 2}",0
125,False,"{'a': 0.5, 'e': 0.2847077732731954}",20,6,-19.483758018876543,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
126,False,"{'a': 0.5, 'e': 0.28186069554046345}",20,12,13.528323876388413,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.2790420885850588}",20,0,10.340135477507214,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.2762516676992082}",20,0,-0.13446858133732098,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
129,False,"{'a': 0.5, 'e': 0.27348915102221616}",30,15,-20.861639401962506,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.270754259511994}",20,0,27.830092475865623,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
131,False,"{'a': 0.5, 'e': 0.26804671691687404}",30,13,-10.14027286242438,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.2653662497477053}",20,2,-6.939817859213106,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.2627125872502282}",25,17,15.036473275498384,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.2600854613777259}",25,13,20.86380444727552,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
